COUNTRY,CONTINENT,GDP,TFR,LIFEEXP,CHMORT
Afghanistan,Asia,690.842629,5.272,59.67960976,99.5
Albania,Europe,4247.485437,1.76,77.35046341,15.5
Algeria,Africa,5583.61616,2.909,74.32409756,26.1
Angola,Africa,5531.776299,6.251,51.464,172.2
Antigua and Barbuda,North America,13525.61622,2.102,75.62180488,9.1
Argentina,South America,14357.41159,2.347,75.8162439,13.8
Armenia,Europe,3565.517575,1.581,74.45209756,16.3
Australia,Oceania,67646.10385,1.921,82.04634146,4.3
Austria,Europe,48324.25404,1.44,80.93658537,4
Azerbaijan,Europe,7393.771877,2,70.62495122,35.7
"Bahamas, The",North America,22112.60835,1.893,74.91446341,13.2
Bahrain,Asia,23063.13229,2.095,76.40763415,7.3
Bangladesh,Asia,858.9333626,2.245,70.86026829,44
Barbados,North America,15317.139,1.788,75.17102439,14.1
Belarus,Europe,6721.834908,1.62,71.96585366,5.3
Belgium,Europe,44731.21948,1.79,80.38536585,4.3
Belize,North America,4674.293377,2.643,69.90514634,18
Benin,Africa,807.688451,4.927,59.12197561,107
Bhutan,Asia,2452.151588,2.152,68.72290244,37.8
Bolivia,South America,2645.290274,3.073,67.44546341,43.1
Bosnia and Herzegovina,Europe,4415.923592,1.28,76.12017073,6.5
Botswana,Africa,6935.593653,2.881,64.22273171,49.5
Brazil,South America,11922.51306,1.812,73.83958537,16
Brunei Darussalam,Asia,41807.65334,1.913,78.25258537,9.7
Bulgaria,Europe,7333.355073,1.5,74.31463415,12
Burkina Faso,Africa,673.0267834,5.693,57.87931707,101.4
Burundi,Africa,244.1964862,6.123,55.78929268,91.2
Cambodia,Asia,946.4766787,2.739,67.32887805,35.8
Cameroon,Africa,1222.192142,4.859,54.5875122,97.4
Canada,North America,52733.47369,1.61,81.23804878,5.3
Cape Verde,Africa,3497.691141,2.376,72.82821951,26.6
Central African Republic,Africa,469.6842871,4.451,49.10529268,142.1
Chad,Africa,972.6793451,6.374,50.78139024,151.6
Chile,South America,15253.33083,1.789,80.89485366,8.6
China,Asia,6264.643878,1.663,75.1995122,13.4
Colombia,South America,7885.061292,1.948,73.63078049,17.4
Comoros,Africa,750.3146086,4.628,62.58297561,80.9
"Congo, Dem. Rep.",Africa,390.7066035,6.199,57.85407317,108.5
"Congo, Rep.",Africa,3191.164299,4.961,60.92390244,52.6
Costa Rica,North America,9733.396931,1.866,79.05353659,10.1
Cote d'Ivoire,Africa,1281.382865,5.121,50.86334146,102.5
Croatia,Europe,13235.97757,1.51,76.92439024,4.9
Cuba,North America,6448.155635,1.628,79.14160976,5.8
Cyprus,Europe,28868.27382,1.464,79.76226829,3.2
Czech Republic,Europe,19640.92866,1.45,78.07560976,3.8
Denmark,Europe,57636.12531,1.73,80.05121951,3.8
Djibouti,Africa,1586.780133,3.332,61.29597561,71.7
Dominican Republic,North America,5967.000984,2.539,73.13531707,32.7
Ecuador,South America,5702.168288,2.599,75.433,23.7
"Egypt, Arab Rep.",Africa,3068.193883,3.306,70.72914634,26.8
El Salvador,North America,3921.720395,1.991,72.23185366,18.6
Equatorial Guinea,Africa,23278.23006,5.011,56.89026829,103.7
Estonia,Europe,17490.99313,1.56,76.32682927,3.8
Ethiopia,Africa,469.7923039,4.642,62.79353659,67.7
Fiji,Oceania,4550.267095,2.615,69.74321951,23.5
Finland,Europe,47415.55987,1.8,80.62682927,2.7
France,Europe,40850.35237,2.01,81.96829268,4.3
Gabon,Africa,10642.43225,4.01,63.28073171,57.7
"Gambia, The",Africa,504.9890138,5.775,59.77814634,76.1
Georgia,Europe,3528.731511,1.82,73.94487805,14.4
Germany,Europe,44010.93139,1.38,80.89268293,4
Ghana,Africa,1641.825922,4.238,60.97702439,69.2
Greece,Europe,22146.91592,1.34,80.63414634,4.7
Grenada,North America,7583.546304,2.194,73.00226829,12.7
Guatemala,North America,3278.629083,3.317,71.24939024,32.1
Guinea,Africa,487.3457142,5.175,57.63763415,104
Guinea-Bissau,Africa,559.224752,4.972,54.5035122,105.2
Guyana,South America,3759.377095,2.615,66.21726829,41.2
Haiti,North America,766.8722334,3.169,62.03339024,75.2
Honduras,North America,2395.073442,2.514,72.75502439,22.6
Hungary,Europe,12819.71206,1.34,75.06341463,6.3
Iceland,Europe,44258.84279,2.04,82.91707317,2.2
India,Asia,1449.664875,2.51,67.28987805,54.5
Indonesia,Asia,3700.523538,2.5,68.51956098,30.4
"Iran, Islamic Rep.",Asia,7710.513314,1.742,74.79934146,17.5
Iraq,Asia,6650.228867,4.086,69.24192683,34.8
Ireland,Europe,48976.92975,2.01,80.89512195,4
Israel,Asia,32818.85838,3.05,81.70487805,4.3
Italy,Europe,34844.49809,1.43,82.23902439,3.8
Jamaica,North America,5445.894718,2.284,73.2824878,17.2
Japan,Asia,46679.26543,1.41,83.09609756,3
Jordan,Asia,4896.688447,3.314,73.74739024,19.6
Kazakhstan,Asia,12120.30534,2.62,69.61,17.9
Kenya,Africa,1184.923256,4.481,60.27278049,55.6
Kiribati,Oceania,1641.197419,3.796,65.59607317,60.4
"Korea, Rep.",Asia,24453.97191,1.297,81.21341463,3.8
Kuwait,Asia,50903.9046,2.626,74.359,9.9
Kyrgyz Republic,Asia,1177.974735,3.2,70.00243902,25.7
Lao PDR,Asia,1445.86945,3.138,65.2485122,74
Latvia,Europe,13775.26158,1.44,73.77804878,8.7
Lebanon,Asia,9729.282193,1.498,79.84636585,9.3
Lesotho,Africa,1158.804222,3.253,48.836,94.1
Liberia,Africa,414.1851554,4.868,60.20436585,80.3
Libya,Africa,13035.1922,2.543,71.64956098,15.1
Lithuania,Europe,14342.52348,1.6,73.86341463,5.6
Luxembourg,Europe,105447.0932,1.57,81.39268293,2.1
"Macedonia, FYR",Europe,4709.511628,1.497,75.03126829,7.4
Madagascar,Africa,444.9584938,4.528,64.24665854,55.5
Malawi,Africa,270.0875313,5.318,60.05029268,77.3
Malaysia,Asia,10834.65908,1.968,74.42331707,7.7
Maldives,Asia,6529.978071,2.175,76.46234146,10.7
Mali,Africa,641.7938201,6.396,57.095,127
Malta,Europe,21176.30998,1.43,80.74634146,6.7
Mauritania,Africa,1282.785101,4.721,62.56017073,92.7
Mauritius,Africa,9113.640643,1.54,73.86341463,14.6
Mexico,North America,9703.371017,2.3,76.35409756,15.3
"Micronesia, Fed. Sts.",Oceania,3147.679202,3.347,68.85070732,38.2
Moldova,Europe,2046.536787,1.462,68.69341463,16.7
Mongolia,Asia,4377.23887,2.641,68.6135122,26.2
Montenegro,Europe,6586.721279,1.676,74.64987805,5.7
Morocco,Africa,2931.4002,2.545,73.36465854,30.7
Mozambique,Africa,564.8124631,5.472,54.21212195,90.9
Myanmar,Asia,1421.497351,2.28,65.42778049,55.3
Namibia,Africa,5679.958215,3.586,63.88114634,49.9
Nepal,Asia,685.4967586,2.381,68.82331707,40.9
Netherlands,Europe,49474.70561,1.72,81.10487805,4.2
Nicaragua,North America,1779.867088,2.34,74.21246341,24.4
Niger,Africa,393.643423,7.642,60.07253659,109.6
Nigeria,Africa,2739.852189,5.758,52.105,120.9
Norway,Europe,101563.7027,1.85,81.45121951,3
Oman,Asia,21533.8076,2.857,76.58956098,11.6
Pakistan,Asia,1266.380758,3.744,65.71687805,87.8
Panama,North America,10138.52113,2.484,77.23704878,18.7
Papua New Guinea,Oceania,2151.210277,3.869,62.29990244,62.5
Paraguay,South America,3858.036492,2.625,72.654,22.6
Peru,South America,6388.845098,2.504,74.05765854,19.1
Philippines,Asia,2604.655997,3.048,68.00707317,30.4
Poland,Europe,13142.04599,1.3,76.79756098,5.3
Portugal,Europe,20577.40264,1.28,80.37317073,3.8
Qatar,Asia,94407.40692,2.059,78.22765854,8.6
Romania,Europe,8577.289214,1.53,74.46341463,12.5
Russian Federation,Asia,14078.83057,1.7,70.36585366,10.8
Rwanda,Africa,667.4145823,4.143,62.79936585,52.1
Samoa,Oceania,4257.060935,4.212,72.98004878,18.5
Sao Tome and Principe,Africa,1488.048003,4.689,66.13390244,52.4
Saudi Arabia,Asia,24883.18971,2.873,74.01602439,16
Senegal,Africa,1019.27223,5.161,65.31887805,55.9
Serbia,Europe,5659.380204,1.45,74.83658537,7.1
Seychelles,Africa,12844.85853,2.4,74.22682927,14.2
Sierra Leone,Africa,618.9472529,4.874,49.74909756,141.6
Singapore,Asia,54577.13737,1.29,81.99512195,2.8
Slovak Republic,Europe,17207.27921,1.34,76.1097561,7.9
Slovenia,Europe,22477.59756,1.58,80.12439024,3
Solomon Islands,Oceania,1866.707246,4.098,67.50658537,30.7
South Africa,Africa,7592.157997,2.412,56.09831707,47.7
South Sudan,Africa,944.2828116,5.197,54.727,102.8
Spain,Europe,28647.83524,1.32,82.42682927,4.4
Sri Lanka,Asia,3366.51036,2.346,74.06804878,10.4
St. Lucia,North America,7248.234505,1.936,74.77763415,15.4
St. Vincent and the Grenadines,North America,6337.770112,2.021,72.67185366,19.8
Sudan,Africa,1662.287641,4.491,62.83219512,76.3
Suriname,South America,9422.270994,2.411,70.80631707,23.4
Swaziland,Africa,3988.667162,3.407,48.85063415,72.6
Sweden,Europe,57134.07707,1.91,81.70487805,3
Switzerland,Europe,83208.68654,1.52,82.69756098,4.3
Tajikistan,Asia,962.4391249,3.525,69.16697561,49.3
Tanzania,Africa,827.5288808,5.287,63.52090244,55.7
Thailand,Asia,5917.917934,1.534,74.07190244,13.5
Timor-Leste,Asia,1127.108215,5.3,67.02058537,58.7
Togo,Africa,580.4950618,4.727,58.55385366,85.8
Tonga,Oceania,4364.309244,3.815,72.488,17.5
Trinidad and Tobago,North America,18322.3238,1.798,70.15139024,22.2
Tunisia,Africa,4187.543531,2.2,73.99512195,15.8
Turkey,Asia,10646.03553,2.06,74.86243902,16.5
Turkmenistan,Asia,6797.721166,2.353,65.31158537,56.5
Uganda,Africa,656.3980727,5.964,57.10019512,64.1
Ukraine,Europe,3855.42128,1.531,70.94414634,10.6
United Arab Emirates,Asia,41712.12421,1.82,77.02414634,7.8
United Kingdom,Europe,41294.5148,1.92,80.90487805,4.8
United States,North America,51456.65873,1.8805,78.74146341,7.1
Uruguay,South America,15127.64415,2.048,76.68839024,11.6
Uzbekistan,Asia,1719.036196,2.3,68.104,43.2
Vanuatu,Oceania,3158.420974,3.419,71.40817073,28.6
"Venezuela, RB",South America,12771.59504,2.417,73.92573171,16.1
Vietnam,Asia,1755.265424,1.768,75.60668293,23.5
West Bank and Gaza,Asia,2782.905026,4.076,73.01787805,22.8
"Yemen, Rep.",Asia,1289.034078,4.416,63.32729268,48.4
Zambia,Africa,1686.618024,5.511,58.36331707,74.4
Zimbabwe,Africa,850.827694,4.016,53.64307317,78.5
